"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","858","filters by Active and Completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","587","trims whitespace-only entries","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - input validation","e2e/todo.spec.ts","",""
"","7094","tracks the remaining counter","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","40","DELETE /posts/1 succeeds","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","542","persists todos across reload","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","2431","TodoMVC has no critical WCAG violations","Accessibility","2026-06-27","passed","2026-06-27","Accessibility @regression","a11y/accessibility.spec.ts","",""
"","39","DELETE /posts/1 succeeds","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","4934","TodoMVC has no critical WCAG violations","Accessibility","2026-06-27","passed","2026-06-27","Accessibility @regression","a11y/accessibility.spec.ts","",""
"","901","navigates to the Docs intro page","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","975","trims whitespace-only entries","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - input validation","e2e/todo.spec.ts","",""
"","2869","navigates to the Docs intro page","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","2134","filters by Active and Completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","707","home page loads with hero call-to-action","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","926","marks a todo as completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","492","GET /posts/1 returns a well-formed post","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","37","GET /posts returns a non-empty collection","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","887","navigates to the Docs intro page","Web UI","2026-06-27","passed","2026-06-27","playwright.dev","web/playwright-site.spec.ts","",""
"","37","GET /posts returns a non-empty collection","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","600","tracks the remaining counter","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","833","persists todos across reload","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","512","GET /posts/1 returns a well-formed post","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","1618","adds multiple todos and shows them in order","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","87","POST /posts creates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","784","marks a todo as completed","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","657","adds multiple todos and shows them in order","End-to-End (UI)","2026-06-27","passed","2026-06-27","TodoMVC - core flows","e2e/todo.spec.ts","",""
"","423","GET /posts/1 returns a well-formed post","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
"","51","POST /posts creates a resource","API","2026-06-27","passed","2026-06-27","JSONPlaceholder REST API","api/jsonplaceholder.spec.ts","",""
